Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
,,,,,,,,338,51381,2494
,,,,,,,,339,51993,2538
,,,,,,,,340,52802,2588
,,,,,,,,341,53858,2647
,,,,,,,,342,55906,2752
,,,,,,,,343,59045,2925
,,,,,,,,344,59769,2936
,,,,,,,,345,59942,2931
,,,,,,,,346,58677,2852
,,,,,,,,347,56832,2756
,,,,,,,,348,54591,2623
,,,,,,,,349,54006,2591
,,,,,,,,350,52903,2537
,,,,,,,,351,52033,2486
,,,,,,,,352,51971,2480
,,,,,,,,353,52582,2514
,,,,,,,,354,54091,2583
,,,,,,,,355,58239,2779
,,,,,,,,356,58216,2781
,,,,,,,,357,56319,2686
,,,,,,,,358,53912,2569
,,,,,,,,359,50472,2403
,,,,,,,,360,46514,2214
,,,,,,,,361,41574,1949
,,,,,,,,362,40183,1889
,,,,,,,,363,39684,1870
,,,,,,,,364,39923,1891
,,,,,,,,365,40859,1944
,,,,,,,,366,43406,2070
,,,,,,,,367,47510,2284
,,,,,,,,368,49371,2359
,,,,,,,,369,50015,2375
,,,,,,,,370,51127,2403
,,,,,,,,371,52396,2460
,,,,,,,,372,52920,2481
,,,,,,,,373,53192,2493
,,,,,,,,374,53120,2490
,,,,,,,,375,53173,2497
,,,,,,,,376,54334,2563
,,,,,,,,377,56089,2662
,,,,,,,,378,58988,2810
,,,,,,,,379,60185,2856
,,,,,,,,380,56681,2666
,,,,,,,,381,54307,2546
,,,,,,,,382,51701,2417
,,,,,,,,383,47715,2226
,,,,,,,,384,43841,2042
,,,,,,,,385,41019,1914
,,,,,,,,386,39559,1848
,,,,,,,,387,38834,1814
,,,,,,,,388,38951,1825
,,,,,,,,389,39804,1870
,,,,,,,,390,43263,2041
,,,,,,,,391,49727,2371
,,,,,,,,392,52704,2516
,,,,,,,,393,52236,2486
,,,,,,,,394,52610,2486
,,,,,,,,395,53435,2529
,,,,,,,,396,53892,2551
,,,,,,,,397,54209,2568
,,,,,,,,398,54293,2576
,,,,,,,,399,54127,2574
,,,,,,,,400,55277,2640
,,,,,,,,401,57249,2747
,,,,,,,,402,60228,2900
,,,,,,,,403,62297,2985
,,,,,,,,404,59507,2829
,,,,,,,,405,57822,2741
,,,,,,,,406,55450,2616
,,,,,,,,407,52053,2450
,,,,,,,,408,49216,2314
,,,,,,,,409,48937,2323
,,,,,,,,410,48724,2324
,,,,,,,,411,49196,2357
,,,,,,,,412,50540,2434
,,,,,,,,413,52771,2549
,,,,,,,,414,58238,2821
,,,,,,,,415,68001,3334
,,,,,,,,416,70210,3423
,,,,,,,,417,67303,3262
,,,,,,,,418,64176,3087
,,,,,,,,419,62045,2988
,,,,,,,,420,59603,2858
,,,,,,,,421,57806,2767
,,,,,,,,422,56097,2678
,,,,,,,,423,54980,2621
,,,,,,,,424,55695,2663
,,,,,,,,425,57720,2770
,,,,,,,,426,61210,2952
,,,,,,,,427,63922,3062
,,,,,,,,428,61310,2917
,,,,,,,,429,60099,2858
,,,,,,,,430,57644,2728
,,,,,,,,431,53997,2561
,,,,,,,,432,50935,2428
,,,,,,,,433,47959,2273
,,,,,,,,434,47270,2251
,,,,,,,,435,47100,2250
,,,,,,,,436,47596,2283
,,,,,,,,437,49028,2359
,,,,,,,,438,53019,2557
,,,,,,,,439,60259,2933
,,,,,,,,440,61540,2976
,,,,,,,,441,58154,2790
,,,,,,,,442,55515,2631
,,,,,,,,443,54281,2569
,,,,,,,,444,53043,2498
,,,,,,,,445,52472,2468
,,,,,,,,446,52193,2452
,,,,,,,,447,52364,2461
,,,,,,,,448,53928,2544
,,,,,,,,449,55729,2644
,,,,,,,,450,58153,2770
,,,,,,,,451,59495,2822
,,,,,,,,452,56249,2645
,,,,,,,,453,54186,2540
,,,,,,,,454,51486,2404
,,,,,,,,455,47720,2223
,,,,,,,,456,44177,2056
,,,,,,,,457,41797,1947
,,,,,,,,458,40804,1906
,,,,,,,,459,40403,1888
,,,,,,,,460,40868,1917
,,,,,,,,461,42041,1978
,,,,,,,,462,45528,2149
,,,,,,,,463,51981,2475
,,,,,,,,464,54307,2583
,,,,,,,,465,52844,2500
,,,,,,,,466,52287,2453
,,,,,,,,467,52447,2462
,,,,,,,,468,52668,2474
,,,,,,,,469,52989,2489
,,,,,,,,470,53091,2495
,,,,,,,,471,53341,2513
,,,,,,,,472,54703,2588
,,,,,,,,473,56287,2678
,,,,,,,,474,57832,2763
,,,,,,,,475,58200,2771
,,,,,,,,476,54392,2568
,,,,,,,,477,52141,2453
,,,,,,,,478,50056,2346
,,,,,,,,479,47283,2208
,,,,,,,,480,44641,2079
,,,,,,,,481,44190,2095
,,,,,,,,482,42884,2040
,,,,,,,,483,42682,2042
,,,,,,,,484,43014,2070
,,,,,,,,485,43804,2115
,,,,,,,,486,45751,2215
,,,,,,,,487,49653,2429
,,,,,,,,488,51786,2519
,,,,,,,,489,53881,2617
,,,,,,,,490,55895,2713
,,,,,,,,491,57064,2770
,,,,,,,,492,56449,2729
,,,,,,,,493,56008,2710
,,,,,,,,494,54325,2630
,,,,,,,,495,53270,2574
,,,,,,,,496,52645,2541
,,,,,,,,497,52834,2552
,,,,,,,,498,53639,2588
,,,,,,,,499,58035,2794
,,,,,,,,500,58440,2815
,,,,,,,,501,57198,2752
,,,,,,,,502,55389,2661
,,,,,,,,503,52854,2538
,,,,,,,,504,49852,2393
,,,,,,,,505,46359,2201
,,,,,,,,506,44571,2116
,,,,,,,,507,44106,2100
,,,,,,,,508,43926,2099
,,,,,,,,509,44046,2108
,,,,,,,,510,44885,2152
,,,,,,,,511,46526,2245
,,,,,,,,512,47045,2259
,,,,,,,,513,48205,2317
,,,,,,,,514,49986,2398
,,,,,,,,515,50913,2443
,,,,,,,,516,51171,2448
,,,,,,,,517,51862,2487
,,,,,,,,518,51787,2490
,,,,,,,,519,51807,2489
,,,,,,,,520,51990,2498
,,,,,,,,521,52483,2526
,,,,,,,,522,53025,2548
,,,,,,,,523,57400,2757
,,,,,,,,524,57790,2776
,,,,,,,,525,55973,2682
,,,,,,,,526,53575,2561
,,,,,,,,527,50183,2390
,,,,,,,,528,45822,2174
,,,,,,,,529,41785,1966
,,,,,,,,530,40585,1915
,,,,,,,,531,40382,1911
,,,,,,,,532,41034,1949
,,,,,,,,533,42627,2033
,,,,,,,,534,46881,2243
,,,,,,,,535,54529,2634
,,,,,,,,536,57190,2756
,,,,,,,,537,55493,2657
,,,,,,,,538,54258,2569
,,,,,,,,539,54061,2559
,,,,,,,,540,53409,2520
,,,,,,,,541,52892,2491
,,,,,,,,542,52339,2463
,,,,,,,,543,52098,2455
,,,,,,,,544,53260,2520
,,,,,,,,545,55145,2624
,,,,,,,,546,57780,2761
,,,,,,,,547,59830,2845
,,,,,,,,548,57130,2693
,,,,,,,,549,55390,2603
,,,,,,,,550,53034,2482
,,,,,,,,551,49292,2304
,,,,,,,,552,46053,2154
,,,,,,,,553,44139,2073
,,,,,,,,554,43461,2050
,,,,,,,,555,43358,2050
,,,,,,,,556,43990,2089
,,,,,,,,557,45408,2163
,,,,,,,,558,49571,2368
,,,,,,,,559,56733,2737
,,,,,,,,560,58716,2826
,,,,,,,,561,56501,2701
,,,,,,,,562,54997,2601
,,,,,,,,563,54550,2584
,,,,,,,,564,54096,2555
,,,,,,,,565,53977,2548
,,,,,,,,566,53462,2520
,,,,,,,,567,53554,2527
,,,,,,,,568,55322,2621
,,,,,,,,569,58070,2765
,,,,,,,,570,61694,2949
,,,,,,,,571,61838,2941
,,,,,,,,572,58271,2749
,,,,,,,,573,56006,2636
,,,,,,,,574,53199,2497
,,,,,,,,575,49207,2309
,,,,,,,,576,45562,2140
,,,,,,,,577,43209,2035
,,,,,,,,578,42312,2000
,,,,,,,,579,41913,1986
,,,,,,,,580,42316,2013
,,,,,,,,581,43453,2073
,,,,,,,,582,47075,2251
,,,,,,,,583,53822,2599
,,,,,,,,584,56458,2720
,,,,,,,,585,55509,2657
,,,,,,,,586,55299,2620
,,,,,,,,587,56070,2660
,,,,,,,,588,56030,2651
,,,,,,,,589,55932,2646
,,,,,,,,590,55325,2616
,,,,,,,,591,55388,2623
,,,,,,,,592,56996,2710
,,,,,,,,593,59554,2846
,,,,,,,,594,62610,3004
,,,,,,,,595,63086,3011
,,,,,,,,596,59566,2820
,,,,,,,,597,57394,2711
,,,,,,,,598,54549,2568
,,,,,,,,599,50655,2382
,,,,,,,,600,47047,2212
,,,,,,,,601,45127,2118
,,,,,,,,602,44144,2081
,,,,,,,,603,43868,2073
,,,,,,,,604,44432,2108
,,,,,,,,605,45943,2187
,,,,,,,,606,50077,2390
,,,,,,,,607,57743,2784
,,,,,,,,608,60021,2884
,,,,,,,,609,58082,2771
,,,,,,,,610,56442,2662
,,,,,,,,611,55669,2628
,,,,,,,,612,54659,2572
,,,,,,,,613,53914,2535
,,,,,,,,614,53197,2498
,,,,,,,,615,52878,2485
,,,,,,,,616,54087,2553
,,,,,,,,617,55955,2657
,,,,,,,,618,58581,2795
,,,,,,,,619,60391,2866
,,,,,,,,620,57819,2719
,,,,,,,,621,56438,2646
,,,,,,,,622,54292,2537
,,,,,,,,623,50780,2370
,,,,,,,,624,47640,2226
,,,,,,,,625,45889,2154
,,,,,,,,626,45585,2148
,,,,,,,,627,45898,2168
,,,,,,,,628,46965,2229
,,,,,,,,629,48916,2330
,,,,,,,,630,53680,2565
,,,,,,,,631,61798,2981
,,,,,,,,632,63942,3072
,,,,,,,,633,60697,2895
,,,,,,,,634,57479,2712
,,,,,,,,635,55849,2639
,,,,,,,,636,54340,2560
,,,,,,,,637,53382,2513
,,,,,,,,638,52437,2466
,,,,,,,,639,51992,2447
,,,,,,,,640,53122,2512
,,,,,,,,641,54826,2608
,,,,,,,,642,56648,2708
,,,,,,,,643,57509,2734
,,,,,,,,644,54272,2558
,,,,,,,,645,52554,2471
,,,,,,,,646,50953,2390
,,,,,,,,647,48713,2286
,,,,,,,,648,46550,2191
,,,,,,,,649,46404,2219
,,,,,,,,650,45499,2186
,,,,,,,,651,45725,2210
,,,,,,,,652,46248,2248
,,,,,,,,653,47120,2297
,,,,,,,,654,49354,2411
,,,,,,,,655,53136,2619
,,,,,,,,656,54713,2675
,,,,,,,,657,56489,2754
,,,,,,,,658,57825,2812
,,,,,,,,659,58383,2840
,,,,,,,,660,57404,2775
,,,,,,,,661,56676,2740
,,,,,,,,662,55046,2659
,,,,,,,,663,53759,2589
,,,,,,,,664,53345,2565
,,,,,,,,665,53889,2592
,,,,,,,,666,54922,2641
,,,,,,,,667,59961,2874
,,,,,,,,668,61127,2934
,,,,,,,,669,60507,2902
,,,,,,,,670,59259,2842
,,,,,,,,671,57177,2746
,,,,,,,,672,54688,2632
,,,,,,,,673,52598,2541
,,,,,,,,674,51709,2508
,,,,,,,,675,52167,2543
,,,,,,,,676,52867,2588
,,,,,,,,677,53732,2636
,,,,,,,,678,55710,2737
,,,,,,,,679,59264,2935
,,,,,,,,680,60083,2950
,,,,,,,,681,60108,2939
,,,,,,,,682,58548,2846
,,,,,,,,683,56884,2762
,,,,,,,,684,54780,2637
,,,,,,,,685,53998,2598
,,,,,,,,686,52438,2521
,,,,,,,,687,51379,2462
,,,,,,,,688,50984,2441
,,,,,,,,689,51658,2477
,,,,,,,,690,52806,2529
,,,,,,,,691,58754,2809
,,,,,,,,692,60595,2899
,,,,,,,,693,59766,2854
,,,,,,,,694,57769,2755
,,,,,,,,695,54259,2587
,,,,,,,,696,50244,2400
,,,,,,,,697,46025,2179
,,,,,,,,698,45608,2173
,,,,,,,,699,45899,2197
,,,,,,,,700,46867,2254
,,,,,,,,701,48932,2362
,,,,,,,,702,53725,2600
,,,,,,,,703,61752,3017
,,,,,,,,704,63515,3084
,,,,,,,,705,60289,2898
,,,,,,,,706,57392,2721
,,,,,,,,707,55828,2642
,,,,,,,,708,54373,2559
,,,,,,,,709,53487,2513
,,,,,,,,710,52662,2472
,,,,,,,,711,52299,2457
,,,,,,,,712,53569,2527
,,,,,,,,713,55933,2654
,,,,,,,,714,59278,2824
,,,,,,,,715,60523,2870
,,,,,,,,716,57251,2691
,,,,,,,,717,54875,2572
,,,,,,,,718,51824,2419
,,,,,,,,719,47591,2217
,,,,,,,,720,43890,2044
,,,,,,,,721,41362,1930
,,,,,,,,722,40235,1888
,,,,,,,,723,39839,1875
,,,,,,,,724,40119,1898
,,,,,,,,725,41316,1964
,,,,,,,,726,44855,2138
,,,,,,,,727,51312,2469
,,,,,,,,728,53428,2558
,,,,,,,,729,51870,2464
,,,,,,,,730,51386,2415
,,,,,,,,731,51551,2421
,,,,,,,,732,51521,2417
,,,,,,,,733,51579,2420
,,,,,,,,734,51773,2429
,,,,,,,,735,52099,2449
,,,,,,,,736,53578,2529
,,,,,,,,737,55484,2634
,,,,,,,,738,57594,2746
,,,,,,,,739,58632,2784
,,,,,,,,740,55802,2627
,,,,,,,,741,53569,2514
,,,,,,,,742,50908,2379
,,,,,,,,743,46802,2181
,,,,,,,,744,42978,1999
,,,,,,,,745,40319,1876
,,,,,,,,746,38995,1813
,,,,,,,,747,38367,1785
,,,,,,,,748,38581,1800
,,,,,,,,749,39465,1846
,,,,,,,,750,42895,2013
,,,,,,,,751,49265,2338
,,,,,,,,752,51821,2462
,,,,,,,,753,51026,2410
,,,,,,,,754,50825,2384
,,,,,,,,755,51443,2414
,,,,,,,,756,51778,2434
,,,,,,,,757,52206,2458
,,,,,,,,758,52499,2477
,,,,,,,,759,53126,2512
,,,,,,,,760,54717,2599
,,,,,,,,761,56521,2700
,,,,,,,,762,58017,2782
,,,,,,,,763,58552,2796
,,,,,,,,764,55931,2650
,,,,,,,,765,53696,2536
,,,,,,,,766,51009,2399
,,,,,,,,767,47063,2205
,,,,,,,,768,43309,2022
,,,,,,,,769,40839,1901
,,,,,,,,770,39547,1840
,,,,,,,,771,38940,1813
,,,,,,,,772,39215,1833
,,,,,,,,773,40325,1890
,,,,,,,,774,43790,2059
,,,,,,,,775,50555,2405
,,,,,,,,776,52927,2520
,,,,,,,,777,52090,2465
,,,,,,,,778,51680,2427
,,,,,,,,779,51941,2439
,,,,,,,,780,52123,2451
,,,,,,,,781,52185,2457
,,,,,,,,782,52141,2460
,,,,,,,,783,52086,2463
,,,,,,,,784,53374,2533
,,,,,,,,785,55005,2625
,,,,,,,,786,57120,2736
,,,,,,,,787,57995,2767
,,,,,,,,788,55298,2617
,,,,,,,,789,53311,2516
,,,,,,,,790,50732,2385
,,,,,,,,791,47004,2203
,,,,,,,,792,43373,2027
,,,,,,,,793,40748,1903
,,,,,,,,794,39415,1839
,,,,,,,,795,38716,1806
,,,,,,,,796,38717,1810
,,,,,,,,797,39504,1851
,,,,,,,,798,42415,1993
,,,,,,,,799,48510,2307
,,,,,,,,800,51149,2435
,,,,,,,,801,50683,2401
,,,,,,,,802,51116,2406
,,,,,,,,803,52215,2460
,,,,,,,,804,52765,2490
,,,,,,,,805,53124,2511
,,,,,,,,806,53157,2518
,,,,,,,,807,53190,2524
,,,,,,,,808,54167,2581
,,,,,,,,809,55497,2659
,,,,,,,,810,56793,2732
,,,,,,,,811,57030,2733
,,,,,,,,812,53892,2562
,,,,,,,,813,51758,2455
,,,,,,,,814,49626,2345
,,,,,,,,815,46971,2211
,,,,,,,,816,44220,2077
,,,,,,,,817,43372,2051
,,,,,,,,818,41646,1968
,,,,,,,,819,40974,1938
,,,,,,,,820,40747,1934
,,,,,,,,821,40911,1947
,,,,,,,,822,42298,2021
,,,,,,,,823,44974,2167
,,,,,,,,824,46776,2248
,,,,,,,,825,49113,2365
,,,,,,,,826,51698,2497
,,,,,,,,827,53243,2574
,,,,,,,,828,53366,2572
,,,,,,,,829,53135,2569
,,,,,,,,830,52078,2517
,,,,,,,,831,51042,2466
,,,,,,,,832,50766,2452
,,,,,,,,833,51550,2491
,,,,,,,,834,52711,2544
,,,,,,,,835,56447,2720
,,,,,,,,836,57413,2765
,,,,,,,,837,56389,2711
,,,,,,,,838,54991,2635
,,,,,,,,839,52773,2524
,,,,,,,,840,49862,2386
,,,,,,,,841,48166,2318
,,,,,,,,842,46741,2256
,,,,,,,,843,46751,2267
,,,,,,,,844,46983,2290
